CRITERIA,PAIN_CAT,ICD_VERSION,ICD9_OR_10,ICD_DESC
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M06852,"Other specified rheumatoid arthritis, left hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M06859,"Other specified rheumatoid arthritis, unspecified hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M06861,"Other specified rheumatoid arthritis, right knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M06862,"Other specified rheumatoid arthritis, left knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M06869,"Other specified rheumatoid arthritis, unspecified knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M06871,"Other specified rheumatoid arthritis, right ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M06872,"Other specified rheumatoid arthritis, left ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M06879,"Other specified rheumatoid arthritis, unspecified ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0688,"Other specified rheumatoid arthritis, vertebrae"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0689,"Other specified rheumatoid arthritis, multiple sites"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M069,"Rheumatoid arthritis, unspecified"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0760,"Enteropathic arthropathies, unspecified site"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M07611,"Enteropathic arthropathies, right shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M07612,"Enteropathic arthropathies, left shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M07619,"Enteropathic arthropathies, unspecified shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M07621,"Enteropathic arthropathies, right elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M07622,"Enteropathic arthropathies, left elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M07629,"Enteropathic arthropathies, unspecified elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M07631,"Enteropathic arthropathies, right wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M07632,"Enteropathic arthropathies, left wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M07639,"Enteropathic arthropathies, unspecified wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M07641,"Enteropathic arthropathies, right hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M07642,"Enteropathic arthropathies, left hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M07649,"Enteropathic arthropathies, unspecified hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M07651,"Enteropathic arthropathies, right hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M07652,"Enteropathic arthropathies, left hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M07659,"Enteropathic arthropathies, unspecified hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M07661,"Enteropathic arthropathies, right knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M07662,"Enteropathic arthropathies, left knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M07669,"Enteropathic arthropathies, unspecified knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M07671,"Enteropathic arthropathies, right ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M07672,"Enteropathic arthropathies, left ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M07679,"Enteropathic arthropathies, unspecified ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0768,"Enteropathic arthropathies, vertebrae"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0769,"Enteropathic arthropathies, multiple sites"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0800,Unspecified juvenile rheumatoid arthritis of unspecified site
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08011,"Unspecified juvenile rheumatoid arthritis, right shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08012,"Unspecified juvenile rheumatoid arthritis, left shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08019,"Unspecified juvenile rheumatoid arthritis, unspecified shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08021,"Unspecified juvenile rheumatoid arthritis, right elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08022,"Unspecified juvenile rheumatoid arthritis, left elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08029,"Unspecified juvenile rheumatoid arthritis, unspecified elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08031,"Unspecified juvenile rheumatoid arthritis, right wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08032,"Unspecified juvenile rheumatoid arthritis, left wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08039,"Unspecified juvenile rheumatoid arthritis, unspecified wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08041,"Unspecified juvenile rheumatoid arthritis, right hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08042,"Unspecified juvenile rheumatoid arthritis, left hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08049,"Unspecified juvenile rheumatoid arthritis, unspecified hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08051,"Unspecified juvenile rheumatoid arthritis, right hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08052,"Unspecified juvenile rheumatoid arthritis, left hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08059,"Unspecified juvenile rheumatoid arthritis, unspecified hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08061,"Unspecified juvenile rheumatoid arthritis, right knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08062,"Unspecified juvenile rheumatoid arthritis, left knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08069,"Unspecified juvenile rheumatoid arthritis, unspecified knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08071,"Unspecified juvenile rheumatoid arthritis, right ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08072,"Unspecified juvenile rheumatoid arthritis, left ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08079,"Unspecified juvenile rheumatoid arthritis, unspecified ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0808,"Unspecified juvenile rheumatoid arthritis, vertebrae"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0809,"Unspecified juvenile rheumatoid arthritis, multiple sites"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0820,"Juvenile rheumatoid arthritis with systemic onset, unspecified site"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08211,"Juvenile rheumatoid arthritis with systemic onset, right shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08212,"Juvenile rheumatoid arthritis with systemic onset, left shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08219,"Juvenile rheumatoid arthritis with systemic onset, unspecified shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08221,"Juvenile rheumatoid arthritis with systemic onset, right elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08222,"Juvenile rheumatoid arthritis with systemic onset, left elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08229,"Juvenile rheumatoid arthritis with systemic onset, unspecified elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08231,"Juvenile rheumatoid arthritis with systemic onset, right wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08232,"Juvenile rheumatoid arthritis with systemic onset, left wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08239,"Juvenile rheumatoid arthritis with systemic onset, unspecified wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08241,"Juvenile rheumatoid arthritis with systemic onset, right hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08242,"Juvenile rheumatoid arthritis with systemic onset, left hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08249,"Juvenile rheumatoid arthritis with systemic onset, unspecified hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08251,"Juvenile rheumatoid arthritis with systemic onset, right hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08252,"Juvenile rheumatoid arthritis with systemic onset, left hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08259,"Juvenile rheumatoid arthritis with systemic onset, unspecified hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08261,"Juvenile rheumatoid arthritis with systemic onset, right knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08262,"Juvenile rheumatoid arthritis with systemic onset, left knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08269,"Juvenile rheumatoid arthritis with systemic onset, unspecified knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08271,"Juvenile rheumatoid arthritis with systemic onset, right ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08272,"Juvenile rheumatoid arthritis with systemic onset, left ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08279,"Juvenile rheumatoid arthritis with systemic onset, unspecified ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0828,"Juvenile rheumatoid arthritis with systemic onset, vertebrae"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0829,"Juvenile rheumatoid arthritis with systemic onset, multiple sites"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M083,Juvenile rheumatoid polyarthritis (seronegative)
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0840,"Pauciarticular juvenile rheumatoid arthritis, unspecified site"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08411,"Pauciarticular juvenile rheumatoid arthritis, right shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08412,"Pauciarticular juvenile rheumatoid arthritis, left shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08419,"Pauciarticular juvenile rheumatoid arthritis, unspecified shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08421,"Pauciarticular juvenile rheumatoid arthritis, right elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08422,"Pauciarticular juvenile rheumatoid arthritis, left elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08429,"Pauciarticular juvenile rheumatoid arthritis, unspecified elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08431,"Pauciarticular juvenile rheumatoid arthritis, right wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08432,"Pauciarticular juvenile rheumatoid arthritis, left wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08439,"Pauciarticular juvenile rheumatoid arthritis, unspecified wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08441,"Pauciarticular juvenile rheumatoid arthritis, right hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08442,"Pauciarticular juvenile rheumatoid arthritis, left hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08449,"Pauciarticular juvenile rheumatoid arthritis, unspecified hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08451,"Pauciarticular juvenile rheumatoid arthritis, right hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08452,"Pauciarticular juvenile rheumatoid arthritis, left hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08459,"Pauciarticular juvenile rheumatoid arthritis, unspecified hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08461,"Pauciarticular juvenile rheumatoid arthritis, right knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08462,"Pauciarticular juvenile rheumatoid arthritis, left knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08469,"Pauciarticular juvenile rheumatoid arthritis, unspecified knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08471,"Pauciarticular juvenile rheumatoid arthritis, right ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08472,"Pauciarticular juvenile rheumatoid arthritis, left ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08479,"Pauciarticular juvenile rheumatoid arthritis, unspecified ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0848,"Pauciarticular juvenile rheumatoid arthritis, vertebrae"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0880,"Other juvenile arthritis, unspecified site"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08811,"Other juvenile arthritis, right shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08812,"Other juvenile arthritis, left shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08819,"Other juvenile arthritis, unspecified shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08821,"Other juvenile arthritis, right elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08822,"Other juvenile arthritis, left elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08829,"Other juvenile arthritis, unspecified elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08831,"Other juvenile arthritis, right wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08832,"Other juvenile arthritis, left wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08839,"Other juvenile arthritis, unspecified wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08841,"Other juvenile arthritis, right hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08842,"Other juvenile arthritis, left hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08849,"Other juvenile arthritis, unspecified hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08851,"Other juvenile arthritis, right hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08852,"Other juvenile arthritis, left hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08859,"Other juvenile arthritis, unspecified hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08861,"Other juvenile arthritis, right knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08862,"Other juvenile arthritis, left knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08869,"Other juvenile arthritis, unspecified knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08871,"Other juvenile arthritis, right ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08872,"Other juvenile arthritis, left ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08879,"Other juvenile arthritis, unspecified ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0888,"Other juvenile arthritis, other specified site"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0889,"Other juvenile arthritis, multiple sites"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0890,"Juvenile arthritis, unspecified, unspecified site"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08911,"Juvenile arthritis, unspecified, right shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08912,"Juvenile arthritis, unspecified, left shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08919,"Juvenile arthritis, unspecified, unspecified shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08921,"Juvenile arthritis, unspecified, right elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08922,"Juvenile arthritis, unspecified, left elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08929,"Juvenile arthritis, unspecified, unspecified elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08931,"Juvenile arthritis, unspecified, right wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08932,"Juvenile arthritis, unspecified, left wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08939,"Juvenile arthritis, unspecified, unspecified wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08941,"Juvenile arthritis, unspecified, right hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08942,"Juvenile arthritis, unspecified, left hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08949,"Juvenile arthritis, unspecified, unspecified hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08951,"Juvenile arthritis, unspecified, right hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08952,"Juvenile arthritis, unspecified, left hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08959,"Juvenile arthritis, unspecified, unspecified hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08961,"Juvenile arthritis, unspecified, right knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08962,"Juvenile arthritis, unspecified, left knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08969,"Juvenile arthritis, unspecified, unspecified knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08971,"Juvenile arthritis, unspecified, right ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08972,"Juvenile arthritis, unspecified, left ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M08979,"Juvenile arthritis, unspecified, unspecified ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0898,"Juvenile arthritis, unspecified, vertebrae"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0899,"Juvenile arthritis, unspecified, multiple sites"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M1100,"Hydroxyapatite deposition disease, unspecified site"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11011,"Hydroxyapatite deposition disease, right shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11012,"Hydroxyapatite deposition disease, left shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11019,"Hydroxyapatite deposition disease, unspecified shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11021,"Hydroxyapatite deposition disease, right elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11022,"Hydroxyapatite deposition disease, left elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11029,"Hydroxyapatite deposition disease, unspecified elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11031,"Hydroxyapatite deposition disease, right wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11032,"Hydroxyapatite deposition disease, left wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11039,"Hydroxyapatite deposition disease, unspecified wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11041,"Hydroxyapatite deposition disease, right hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11042,"Hydroxyapatite deposition disease, left hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11049,"Hydroxyapatite deposition disease, unspecified hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11051,"Hydroxyapatite deposition disease, right hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11052,"Hydroxyapatite deposition disease, left hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11059,"Hydroxyapatite deposition disease, unspecified hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11061,"Hydroxyapatite deposition disease, right knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11062,"Hydroxyapatite deposition disease, left knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11069,"Hydroxyapatite deposition disease, unspecified knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11071,"Hydroxyapatite deposition disease, right ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11072,"Hydroxyapatite deposition disease, left ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11079,"Hydroxyapatite deposition disease, unspecified ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M1108,"Hydroxyapatite deposition disease, vertebrae"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M1109,"Hydroxyapatite deposition disease, multiple sites"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M1110,"Familial chondrocalcinosis, unspecified site"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11111,"Familial chondrocalcinosis, right shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11112,"Familial chondrocalcinosis, left shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11119,"Familial chondrocalcinosis, unspecified shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11121,"Familial chondrocalcinosis, right elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11122,"Familial chondrocalcinosis, left elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11129,"Familial chondrocalcinosis, unspecified elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11131,"Familial chondrocalcinosis, right wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11132,"Familial chondrocalcinosis, left wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11139,"Familial chondrocalcinosis, unspecified wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11141,"Familial chondrocalcinosis, right hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11142,"Familial chondrocalcinosis, left hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11149,"Familial chondrocalcinosis, unspecified hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11151,"Familial chondrocalcinosis, right hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11152,"Familial chondrocalcinosis, left hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11159,"Familial chondrocalcinosis, unspecified hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11161,"Familial chondrocalcinosis, right knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11162,"Familial chondrocalcinosis, left knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11169,"Familial chondrocalcinosis, unspecified knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11171,"Familial chondrocalcinosis, right ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11172,"Familial chondrocalcinosis, left ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11179,"Familial chondrocalcinosis, unspecified ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M1118,"Familial chondrocalcinosis, vertebrae"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M1119,"Familial chondrocalcinosis, multiple sites"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M1120,"Other chondrocalcinosis, unspecified site"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11211,"Other chondrocalcinosis, right shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11212,"Other chondrocalcinosis, left shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11219,"Other chondrocalcinosis, unspecified shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11221,"Other chondrocalcinosis, right elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11222,"Other chondrocalcinosis, left elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11229,"Other chondrocalcinosis, unspecified elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11231,"Other chondrocalcinosis, right wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11232,"Other chondrocalcinosis, left wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11239,"Other chondrocalcinosis, unspecified wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11241,"Other chondrocalcinosis, right hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11242,"Other chondrocalcinosis, left hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11249,"Other chondrocalcinosis, unspecified hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11251,"Other chondrocalcinosis, right hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11252,"Other chondrocalcinosis, left hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11259,"Other chondrocalcinosis, unspecified hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11261,"Other chondrocalcinosis, right knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11262,"Other chondrocalcinosis, left knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M11269,"Other chondrocalcinosis, unspecified knee"
